name,brand_name,regular_price_value,offer_price_value,currency,classification_l1,classification_l2,classification_l3,classification_l4,image_url
GP & J Baker Ferns Wallpaper,gp & j baker,98,98,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/237437038?
GP & J Baker Ferns Wallpaper,gp & j baker,98,98,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/237437036?
Jonny's Sister Personalised Beard Kit,jonny's sister,28,28,GBP,gifts,personalised gifts,,,https://johnlewis.scene7.com/is/image/JohnLewis/237811537?
Vintage Ivory Teaspoon,unbranded,4.5,2.25,GBP,home & garden,cutlery,,,https://johnlewis.scene7.com/is/image/JohnLewis/231039608?
Hobbs Pixie Stripe Palm Tree T-Shirt,hobbs,35,19,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004137527?
John Lewis & Partners 20 Denier Firm Support Active Light Sheer Tights,john lewis & partners,6.5,6.5,GBP,women,tights,,,https://johnlewis.scene7.com/is/image/JohnLewis/003219934?
MAC 4 Lash,mac,12.5,12.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/232320395?
Giorgio Armani Prima Colour Control Glow Moisturiser SPF 35,giorgio armani,38,38,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237380071?
Giorgio Armani Prima Colour Control Glow Moisturiser SPF 35,giorgio armani,38,38,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237380069?
John Lewis & Partners 20 Denier Firm Support Active Light Sheer Tights,john lewis & partners,6.5,6.5,GBP,women,tights,,,https://johnlewis.scene7.com/is/image/JohnLewis/003219935?
Oakley OO9439 Men's Pitchman R Prizm Round Sunglasses,oakley,130,130,GBP,men,men's accessories,men's sunglasses,,https://johnlewis.scene7.com/is/image/JohnLewis/237782616?
Morris & Co. Seaweed Wallpaper,morris & co.,68,68,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234419352?
Giorgio Armani Prima Colour Control Glow Moisturiser SPF 35,giorgio armani,38,38,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237380061?
Oakley OO9439 Men's Pitchman R Prizm Round Sunglasses,oakley,130,130,GBP,men,men's accessories,men's sunglasses,,https://johnlewis.scene7.com/is/image/JohnLewis/237831694?
Morris & Co. Seaweed Wallpaper,morris & co.,68,68,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234419348?
Giorgio Armani Prima Colour Control Glow Moisturiser SPF 35,giorgio armani,38,38,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237380077?
Lancôme Advanced Génifique Sensitive Dual Concentrate Serum  20ml,lancôme,54,54,GBP,beauty,skin care  treatments & supplements,facial oils & serums,,https://johnlewis.scene7.com/is/image/JohnLewis/237040239?
John Lewis & Partners 20 Denier Firm Support Active Light Sheer Tights,john lewis & partners,6.5,6.5,GBP,women,tights,,,https://johnlewis.scene7.com/is/image/JohnLewis/003219950?
Morris & Co. Seaweed Wallpaper,morris & co.,68,68,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234419336?
Giorgio Armani Prima Colour Control Glow Moisturiser SPF 35,giorgio armani,38,38,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237380076?
Morris & Co. Seaweed Wallpaper,morris & co.,68,68,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234419318?
Antler Atmosphere 82cm 4-Wheel Large Suitcase,antler,135,135,GBP,sport & leisure,suitcases  bags & accessories,suitcases  bags & accessories-nch,suitcases,https://johnlewis.scene7.com/is/image/JohnLewis/237167635?
Morris & Co. Seaweed Wallpaper,morris & co.,68,68,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234419317?
Antler Atmosphere 82cm 4-Wheel Large Suitcase,antler,135,135,GBP,sport & leisure,suitcases  bags & accessories,suitcases  bags & accessories-nch,suitcases,https://johnlewis.scene7.com/is/image/JohnLewis/237167637?
Ted Baker Inala Leather Suede Point Toe Ankle Boots,ted baker,101.5,101.5,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004497136
Barbour Saltburn Bobble Beanie  Navy,barbour,26.95,26.95,GBP,women,women's hats  gloves & scarves,,,https://johnlewis.scene7.com/is/image/JohnLewis/238225260?
Dune Billiee Suede Clutch Bag  Cappuccino,dune,63,24.8,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/003885292?
adidas Junior's RapidaRun X Knit Running Shoes  Legend Ink/Active Maroon/Tech Ink,adidas,30.36,30.36,GBP,baby & child,children's shoes,girls' shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/003847905?
Samsung WW90J5456MA ecobubble™  Freestanding Washing Machine  9kg Load  A+++ Energy Rating  1400rpm Spin  White,samsung,449,379,GBP,electricals,washing machines & tumble dryers,washing machines,,https://johnlewis.scene7.com/is/image/JohnLewis/236856261?
Fiorelli Anouk Small Backpack  Weave Mix,,69,48.3,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238015994?
Goutal Un Air d'Hadrien Scented Candle  190g,goutal,39.2,39.2,GBP,home & garden,candles & home fragrance,candles,,https://johnlewis.scene7.com/is/image/JohnLewis/237594971?
Reiss Turner Colour Block Jumper  Blue,reiss,115,80,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004235447?
Warehouse Stitch Diamante Embellished Jumper  Black,warehouse,46,20,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004795694?
MAC False Lashes Mascara  Extreme Black,mac,22,22,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/232316370?
Zanussi ZDT24004FA Integrated Dishwasher,zanussi,359,359,GBP,electricals,dishwashers,,,https://johnlewis.scene7.com/is/image/JohnLewis/237084472?
Dior Blacktie143S Round Sunglasses,,309,309,GBP,men,men's accessories,men's sunglasses,,https://johnlewis.scene7.com/is/image/JohnLewis/236322848?
Engblad & Co Plaza Wallpaper,engblad & co,65,65,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238255746?
Dior Blacktie143S Round Sunglasses,,309,309,GBP,men,men's accessories,men's sunglasses,,https://johnlewis.scene7.com/is/image/JohnLewis/236322874?
Dior Blacktie143S Round Sunglasses,,309,309,GBP,men,men's accessories,men's sunglasses,,https://johnlewis.scene7.com/is/image/JohnLewis/236312358?
Engblad & Co Plaza Wallpaper,engblad & co,65,65,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238255745?
John Lewis & Partners Marbled Faux Fur Cushion  Natural,john lewis & partners,25,25,GBP,home & garden,cushions & bean bags,cushions,,https://johnlewis.scene7.com/is/image/JohnLewis/237970400?
Engblad & Co Plaza Wallpaper,engblad & co,65,65,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238255737?
Engblad & Co Plaza Wallpaper,engblad & co,65,65,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238255744?
MICHAEL Michael Kors Jet Set Travel Quilted Leather Double Pouch Cross Body Bag,michael kors,195,195,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238347487?
Engblad & Co Plaza Wallpaper,engblad & co,65,65,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238255735?
MICHAEL Michael Kors Jet Set Travel Quilted Leather Double Pouch Cross Body Bag,michael kors,195,195,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238347479?
Neal's Yard Remedies Sweet Dreams Bedtime Bodycare Gift Set,neal's yard remedies,22,22,GBP,beauty,bath & shower,bath & body sets,,https://johnlewis.scene7.com/is/image/JohnLewis/238278189?
DAY et Gweneth Tone Large Tote Bag,day et,50,10,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238083067?
Chesca Satin Back Cami Top,chesca,95,95,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/002941691?
Sanderson Sea Houses Wallpaper,sanderson,66,66,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/237362160?
Funko POP! Wetmore Forest Monsters Picklez Large Plush Soft Toy,funko,26.99,13.49,GBP,baby & child,soft toys,,,https://johnlewis.scene7.com/is/image/JohnLewis/238358926?
Eddingtons Retro Kitchen Timer  Copper,eddingtons,16.99,16.99,GBP,home & garden,utensils,utensils-,view all kitchen utensils,https://johnlewis.scene7.com/is/image/JohnLewis/236043980?
Raymond Weil 5488-STC-00300 Men's Toccata Leather Strap Watch  Black/White,raymond weil,595,595,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/233564542?
John Lewis & Partners Elma Leather Stripe Trainers  White,john lewis & partners,79,79,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004157519?
FAGUO Diagonal Woven Belt  One Size  Navy,faguo,35,10.5,GBP,men,men's accessories,men's belts,,https://johnlewis.scene7.com/is/image/JohnLewis/238261992?
Skechers Junior Advance Intergrid Trainers  Blue/Lime,skechers,27,14,GBP,baby & child,children's shoes,girls' shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/004021901
Boråstapeter Brio Trains Wallpaper Border  6281,boråstapeter,39,39,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/237262064?
Happy Socks Squiggly Line Socks  One Size  Red,happy socks,11.95,2,GBP,men,men's socks,,,https://johnlewis.scene7.com/is/image/JohnLewis/238175611?
Acqua di Parma Colonia Bath & Shower Gel  200ml,acqua di parma,33.3,33.3,GBP,beauty,bath & shower,bath & shower,,https://johnlewis.scene7.com/is/image/JohnLewis/000052420?
