name,brand_name,regular_price_value,offer_price_value,currency,classification_l1,classification_l2,classification_l3,classification_l4,image_url
Jenny Worrall Wild Flowers Glass Lamp Base  Multi  H34cm,jenny worrall,275,275,GBP,furniture & lights,lighting,desk & table lamps,,https://johnlewis.scene7.com/is/image/JohnLewis/237674069?
Joules Kelly Round Neck Swing Jumper,joules,48.97,48.97,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004185512?
Hobbs Amber Top  Pale Pink,hobbs,39,32,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004113923?
Lauren Ralph Lauren Wilona Seersucker Blazer  Blue/White,ralph lauren,147,147,GBP,women,women's coats & jackets,,,https://johnlewis.scene7.com/is/image/JohnLewis/004045633?
Ted Baker Polino Dress  Dark Blue,ted baker,159,79,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004159535?
Hamilton H82345141 Men's Khaki Navy Scuba Automatic Date Bracelet Strap Watch  Silver/Blue,hamilton,695,695,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/238151995?
Morris & Co Embossed Card Holder,,18,9,GBP,men,men's accessories,men's wallets,,https://johnlewis.scene7.com/is/image/JohnLewis/237839101alt2?
Lacoste Slim Fit Striped Accents Cotton Piqué Polo Shirt  Navy,lacoste,90,63,GBP,men,men's polo shirts & rugby shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004085253?
Joules Laundered Oxford Classic Fit Shirt,joules,54.95,54.95,GBP,men,men's shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004161514?
Joules Laundered Oxford Classic Fit Shirt,joules,54.95,54.95,GBP,men,men's shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004737068?
White Stuff Tilda Cashmere Jumper  Multi,white stuff,120,79,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004769214
Lorus RH933GX9 Men's Date Leather Strap Watch  Camel/Black,lorus,49.99,49.99,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/236316747?
Molton Brown Orange & Bergamot Hand Lotion  300ml,molton brown,22,22,GBP,beauty,hand & foot care,,,https://johnlewis.scene7.com/is/image/JohnLewis/237349915?
Ted Baker Diffuser Fig & Olive Blosom Reed Diffuser  200ml,ted baker,30,30,GBP,home & garden,candles & home fragrance,diffusers,,https://johnlewis.scene7.com/is/image/JohnLewis/237034258?
Casio Unisex Bracelet Strap Watch,casio,39.9,39.9,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/238199549?
Casio Unisex Bracelet Strap Watch,casio,39.9,39.9,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/238199554?
Nicole Pletts - Racing By Detail I Framed Print & Mount  69 x 69cm,unbranded,65,65,GBP,home & garden,pictures,,,https://johnlewis.scene7.com/is/image/JohnLewis/237689628?
Gina Bacconi Gosia Floral Tiered Dress  Pink/Multi,gina bacconi,170,119,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004113325?
John Lewis & Partners Copenhagen Rug  Multi  L180 x W120cm,john lewis & partners,260,260,GBP,home & garden,carpets & flooring,rugs,,https://johnlewis.scene7.com/is/image/JohnLewis/002775286
AllSaints Kato Tapered Ankle Trousers,allsaints,98,49,GBP,men,men's trousers,,,https://johnlewis.scene7.com/is/image/JohnLewis/003983302?
Tiny Love Magical Tales Super Activity Mat,tiny love,35.99,35.99,GBP,baby & child,baby & preschool toys,playmats,,https://johnlewis.scene7.com/is/image/JohnLewis/237913537?
Georg Jensen Sterling Silver Pretzel Cufflinks  Silver,georg jensen,235,117.5,GBP,men,men's accessories,men's cufflinks,,https://johnlewis.scene7.com/is/image/JohnLewis/238277767?
Barts Darrin Beanie  One Size  Heather Grey,barts,26.99,13.5,GBP,men,men's accessories,men's hats  gloves & scarves,,https://johnlewis.scene7.com/is/image/JohnLewis/238182023alt2?
Yves Saint Laurent Opium Shower Gel  200ml,yves saint laurent,39,26.13,GBP,beauty,bath & shower,bath & shower,,https://johnlewis.scene7.com/is/image/JohnLewis/230645677?
Crocs Children's Classic Croc Clogs,crocs,19.99,19.99,GBP,baby & child,children's shoes,girls' shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/003019345
John Lewis & Partners Jaipur Rug  Pink,john lewis & partners,220,220,GBP,home & garden,carpets & flooring,rugs,,https://johnlewis.scene7.com/is/image/JohnLewis/003320401?
JOOP! Wow! Eau de Toilette,joop!,46.99,46.99,GBP,beauty,men's aftershave,,,https://johnlewis.scene7.com/is/image/JohnLewis/236972809?
Under Armour MK-1 Shorts  Grey,under armour,30,30,GBP,men,men's shorts,,,https://johnlewis.scene7.com/is/image/JohnLewis/003859247?
Aromatherapy Associates De-Stress Muscle Bath & Shower Oil  55ml,aromatherapy associates,49,49,GBP,beauty,bath & shower,bath & shower,,https://johnlewis.scene7.com/is/image/JohnLewis/234236594alt1?
John Lewis & Partners Banana Tree,john lewis & partners,18,18,GBP,home & garden,home storage,kitchen storage,,https://johnlewis.scene7.com/is/image/JohnLewis/238135953?
Gerard Darel Cylia Knit Scarf  Green,gerard darel,125,75,GBP,women,women's hats  gloves & scarves,,,https://johnlewis.scene7.com/is/image/JohnLewis/004217293?
Urban Decay Pro Large Tapered Powder Brush,urban decay,26,26,GBP,beauty,make-up accessories,make-up brushes,,https://johnlewis.scene7.com/is/image/JohnLewis/236460438?
Gina Bacconi Lacey Crepe Coat,gina bacconi,240,192,GBP,women,women's coats & jackets,,,https://johnlewis.scene7.com/is/image/JohnLewis/003897390?
French Connection Crepe Belted Cami Top  Summer White,french connection,40,24,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/003911497?
REN Radiance Glow Daily Vitamin C Gel Cream  50ml,ren,38,38,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237873237?
Sorel Torino II Lace Up Ankle Snow Boots  Black,sorel,135,135,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004113836?
Eeboo Beautiful World Puzzle  100 pieces,eeboo,12.99,12.99,GBP,baby & child,games & puzzles,view all games & puzzles,,https://johnlewis.scene7.com/is/image/JohnLewis/238329259?
Carvela Comfort Saz Flat Open Toe Sandals,carvela comfort,79.2,79.2,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/003503831alt3
Tom Dixon Materialism Candle Gift Set,tom dixon,130,130,GBP,home & garden,candles & home fragrance,candles,,https://johnlewis.scene7.com/is/image/JohnLewis/237257199?
Mint Velvet Lucy Leather Block Heel Sandals,mint velvet,95.2,95.2,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004295518?
Gerard Darel Echarpe Animal Print Scarf  Neutral,gerard darel,35,35,GBP,women,women's hats  gloves & scarves,,,https://johnlewis.scene7.com/is/image/JohnLewis/004269684?
Tiffany & Co TF4159 Women's Cat's Eye Sunglasses,tiffany & co,269,269,GBP,women,women's sunglasses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237924984?
Josef Seibel Alicia 1 Leather Ankle Boots  Black,josef seibel,95,60,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004297141?
Tiffany & Co TF4159 Women's Cat's Eye Sunglasses,tiffany & co,269,269,GBP,women,women's sunglasses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237924980?
Hamilton H69439511 Men's Khaki Field Mechanical Leather Strap Watch  Brown/White,hamilton,445,445,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/238151937?
John Lewis & Partners Silk Bird Print Pocket Square  Navy,john lewis & partners,20,7,GBP,men,men's accessories,men's handkerchiefs & pocket squares,,https://johnlewis.scene7.com/is/image/JohnLewis/004171175?
John Lewis & Partners Aria Jersey Nightshirt  Pink,john lewis & partners,39,39,GBP,women,women's nightwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004007457
John Lewis & Partners Ayla Rug  Grey,john lewis & partners,260,78,GBP,home & garden,carpets & flooring,rugs,,https://johnlewis.scene7.com/is/image/JohnLewis/003477002?
Elemis Skincare Sensitive Cleansing Wash  200ml,elemis,25,25,GBP,beauty,skin care  treatments & supplements,cleansers & toners,,https://johnlewis.scene7.com/is/image/JohnLewis/000052829?
Glengoyne Legacy Series Chapter One Whisky  2019  70cl,glengoyne,55,55,GBP,gifts,gift food & alcohol,gift food & alcohol,,https://johnlewis.scene7.com/is/image/JohnLewis/238226713?
Gabor Gambit Suede Leopard Print Block Heeled Court Shoes  Blue,gabor,89.99,45,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004115452?
Atelier Cologne Pomélo Paradis Cologne Absolue,atelier cologne,55,55,GBP,beauty,men's aftershave,,,https://johnlewis.scene7.com/is/image/JohnLewis/236294992?
John Lewis & Partners Gravity Loop Track,john lewis & partners,12,12,GBP,baby & child,cars  trains  boats & planes,,,https://johnlewis.scene7.com/is/image/JohnLewis/238031072?
Molton Brown The Elemental Arc Bottle Holder  Chrome,molton brown,36,36,GBP,beauty,bath & shower,bath & shower,,https://johnlewis.scene7.com/is/image/JohnLewis/237466407?
Tiger of Sweden Slim Fit Suit Trousers  Peru,tiger of sweden,169,51,GBP,men,men's trousers,,,https://johnlewis.scene7.com/is/image/JohnLewis/003967667alt3?
AllSaints Brea Gem T-Shirt,allsaints,45,22,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004793782?
Wacoal La Femme Contour Bra,wacoal,38.4,38.4,GBP,women,women's lingerie & underwear,bras,,https://johnlewis.scene7.com/is/image/JohnLewis/002537394?
Whistles Henna Print Flippy Dress  Pink/Multi,whistles,155,46,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004099304?
BabyBjörn Mini Teething Bibs for Baby Carriers  2 Pack  White,babybjörn,13.85,13.85,GBP,baby & child,buggies & travel,baby carriers,,https://johnlewis.scene7.com/is/image/JohnLewis/237897343?
Carvela Kross 2 Stiletto Heeled Court Shoes  Nude,carvela,49,49,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004075569?
AllSaints Brea Gem T-Shirt,allsaints,45,22,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004793791?
Ring Alarm Keypad,ring,59,59,GBP,electricals,smart home,smart home monitoring,,https://johnlewis.scene7.com/is/image/JohnLewis/238428374?
Alessi Bark Crib Nativity Scene,alessi,85,85,GBP,christmas,christmas room decorations,,,https://johnlewis.scene7.com/is/image/JohnLewis/237607455?
Tom Dixon London Reed Diffuser  200ml,tom dixon,65,65,GBP,home & garden,candles & home fragrance,diffusers,,https://johnlewis.scene7.com/is/image/JohnLewis/237257185?
John Lewis & Partners Extra Fine Merino Polo Top,john lewis & partners,55,55,GBP,men,men's polo shirts & rugby shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004045329?
John Lewis & Partners Kallie Wedge Heel Peep Toe Sandals,john lewis & partners,85,34,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/003795822?
John Lewis & Partners Extra Fine Merino Polo Top,john lewis & partners,55,55,GBP,men,men's polo shirts & rugby shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004045331?
Hobbs Lizzie Stripe Flared Dress  Cobalt/White,hobbs,99,39,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004209495?
Chi Chi London Bay Dress  Navy,chi chi london,70,70,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004209297?
John Lewis & Partners Extra Fine Merino Polo Top,john lewis & partners,55,55,GBP,men,men's polo shirts & rugby shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004045328?
Orla Kiely Linear Stem Rectangular Cushion,orla kiely,32,32,GBP,home & garden,cushions & bean bags,cushions,,https://johnlewis.scene7.com/is/image/JohnLewis/237941409?
Finery Mardale Poppy Dipped Hem Skirt  Multi,finery,89,26,GBP,women,women's skirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004247472?
Orla Kiely Linear Stem Rectangular Cushion,orla kiely,32,32,GBP,home & garden,cushions & bean bags,cushions,,https://johnlewis.scene7.com/is/image/JohnLewis/237941408?
Fulton Stowaway 23 Umbrella  Black,,18,18,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/230154487?
Design Project by John Lewis No.185 2 Drawer Bedside Table  Natural/Oak,design project by john lewis,250,250,GBP,furniture & lights,bedroom,bedside cabinets & tables,,https://johnlewis.scene7.com/is/image/JohnLewis/238203519?
EILEEN FISHER Merino Colour Block Roll Neck Jumper  Pearl/Black,eileen fisher,275,82.5,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004327082?
Molton Brown Delicious Rhubarb & Rose Single Wick Scented Candle  180g,molton brown,31.2,31.2,GBP,home & garden,candles & home fragrance,candles,,https://johnlewis.scene7.com/is/image/JohnLewis/235942361alt4?
"Samsung Galaxy A50 Smartphone  4GB RAM  6.4""  4G LTE  SIM Free  128GB",samsung,279,279,GBP,electricals,mobile phones & accessories,view all mobile phones,,https://johnlewis.scene7.com/is/image/JohnLewis/238087827?
"Samsung Galaxy A50 Smartphone  4GB RAM  6.4""  4G LTE  SIM Free  128GB",samsung,279,279,GBP,electricals,mobile phones & accessories,view all mobile phones,,https://johnlewis.scene7.com/is/image/JohnLewis/238087834?
Mulberry Plaque Grain Veg Tanned Leather Card Holder  Oak,mulberry,175,175,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237823398?
Neuville Racine Leather Tote Bag  Camel,neuville,199,99.5,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238120293?
"Samsung Galaxy A50 Smartphone  4GB RAM  6.4""  4G LTE  SIM Free  128GB",samsung,279,279,GBP,electricals,mobile phones & accessories,view all mobile phones,,https://johnlewis.scene7.com/is/image/JohnLewis/238087828?
"Samsung Galaxy A50 Smartphone  4GB RAM  6.4""  4G LTE  SIM Free  128GB",samsung,279,279,GBP,electricals,mobile phones & accessories,view all mobile phones,,https://johnlewis.scene7.com/is/image/JohnLewis/238087829?
Origins A Perfect World™ Antioxidant Cleanser with White Tea  150ml,origins,18,18,GBP,beauty,skin care  treatments & supplements,cleansers & toners,,https://johnlewis.scene7.com/is/image/JohnLewis/236840878?
Anglepoise 1227 Mini Ceramic Wall Light  White,anglepoise,115,115,GBP,furniture & lights,lighting,wall lighting,,https://johnlewis.scene7.com/is/image/JohnLewis/237049653?
Somerset by Alice Temperley Python Long Sleeve Maxi Dress  Neutral,somerset by alice temperley,130,130,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004125728?
Mint Velvet Studded Dress  Black,mint velvet,119,49,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004783759?
AND/OR Orela Leather Ankle Boots  Zebra Print,and/or,135,54,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004181580?
Whittard Double Chocolate Chip All Butter Biscuits  150g,whittard,8,8,GBP,gifts,gift food & alcohol,gift food & alcohol,,https://johnlewis.scene7.com/is/image/JohnLewis/237948804?
Carvela Kontrol Stiletto Heel Court Shoes  Black,carvela,79,29,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004107333?
John Lewis & Partners Mongolian Sheepskin Throw,john lewis & partners,350,350,GBP,home & garden,bedding,throws  blankets & bedspreads,,https://johnlewis.scene7.com/is/image/JohnLewis/237656280?
John Lewis & Partners Mongolian Sheepskin Throw,john lewis & partners,350,350,GBP,home & garden,bedding,throws  blankets & bedspreads,,https://johnlewis.scene7.com/is/image/JohnLewis/237656288?
Hobbs Mimi Shirt Dress  Multi,hobbs,159,119,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004753300?
Björn Borg Alexi Quilted Gilet  Black Beauty,björn borg,90,54,GBP,men,men's coats & jackets,,,https://johnlewis.scene7.com/is/image/JohnLewis/004167515?
Cole & Son Bastoni Wallpaper,cole & son,175,175,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238176046?
Somerset by Alice Temperley Leopard Print Jumpsuit  Nude,somerset by alice temperley,99,49.5,GBP,women,women's jumpsuits & playsuits,,,https://johnlewis.scene7.com/is/image/JohnLewis/003967644?
Cole & Son Bastoni Wallpaper,cole & son,175,175,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238176044?
Smeg TR93X Dual Fuel Victoria Range Cooker  Stainless Steel,smeg,2199,2199,GBP,electricals,cooking,cookers,,https://johnlewis.scene7.com/is/image/JohnLewis/234288362?
Mulberry Small Classic Grain Leather Snap Hook Keyring,mulberry,66.5,66.5,GBP,men,men's accessories,keyrings,,https://johnlewis.scene7.com/is/image/JohnLewis/237823988?
Cole & Son Bastoni Wallpaper,cole & son,175,175,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/238176045?
Dominic James Studio - Influx Embellished Framed Canvas  60 x 120cm  Blue/Multi,john lewis & partners,150,150,GBP,home & garden,pictures,,,https://johnlewis.scene7.com/is/image/JohnLewis/237820131?
ercol for John Lewis Shalstone 4 Drawer Chest,ercol for john lewis,850,850,GBP,furniture & lights,bedroom,chests of drawers,,https://johnlewis.scene7.com/is/image/JohnLewis/234240477?
Laura Mercier Ambre Vanillé Crème Body Wash  200ml,laura mercier,32.5,32.5,GBP,beauty,bath & shower,bath & shower,,https://johnlewis.scene7.com/is/image/JohnLewis/231917013?
Lauren Ralph Lauren Curve Katlin Top  Lauren Navy/White,ralph lauren,48.3,48.3,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004235171?
Caudalie Premier Cru The Serum  30ml,caudalie,90,90,GBP,beauty,skin care  treatments & supplements,facial oils & serums,,https://johnlewis.scene7.com/is/image/JohnLewis/237327970?
Cole & Son Stars Wallpaper,cole & son,80,80,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234342904?
Cole & Son Stars Wallpaper,cole & son,80,80,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234342896?
Brother Innov-Is M230e Embroidery Machine  White,brother,849,849,GBP,sport & leisure,haberdashery,sewing machines,,https://johnlewis.scene7.com/is/image/JohnLewis/237256796alt9?
Cole & Son Stars Wallpaper,cole & son,80,80,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234342891?
Cole & Son Stars Wallpaper,cole & son,80,80,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234342874?
Cole & Son Stars Wallpaper,cole & son,80,80,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/234342870?
Reiss Amalia Suede Heeled Ankle Boots,reiss,265,145,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004303136?
Hive Active Light Colour Changing Wireless Lighting LED Light Bulb  9.5W A60 B22 Bayonet Bulb  Pack of 3 with Hive Hub,hive,139,139,GBP,electricals,smart home,smart lighting,,https://johnlewis.scene7.com/is/image/JohnLewis/238357720?
NARSskin Double Refining Exfoliator  80ml,nars,28,28,GBP,beauty,skin care  treatments & supplements,exfoliators,,https://johnlewis.scene7.com/is/image/JohnLewis/231674211?
Damsel in a Dress Rhumba Dress  Red/Black,damsel in a dress,129,89,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/003254391?
Birkenstock Children's Rio Electric Metallic Buckle Sandals  Copper,birkenstock,40,20,GBP,baby & child,children's shoes,girls' shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/003870017?
Jo Malone London Myrrh & Tonka Cologne Intense,jo malone london,78,78,GBP,beauty,women's fragrance,,,https://johnlewis.scene7.com/is/image/JohnLewis/238217623?
Rory Dobner Diamond Dog Tile  14.8 x 14.8cm,rory dobner,40,20,GBP,home & garden,decorative accessories,ornaments,,https://johnlewis.scene7.com/is/image/JohnLewis/237735859?
Lee Scarlett Regular Waist Skinny Jeans  Black Rinse,lee,85,25.5,GBP,women,women's jeans,,,https://johnlewis.scene7.com/is/image/JohnLewis/003559363?
Gerard Darel Dilys Floral Print Silk Dress  Burgundy,gerard darel,295,147.5,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004217294?
Bose® SoundLink™ AE2 Wireless Bluetooth Over-Ear Headphones with Built-In Microphone,bose®,149,149,GBP,electricals,headphones,headphones,,https://johnlewis.scene7.com/is/image/JohnLewis/234587585?
Bose® SoundLink™ AE2 Wireless Bluetooth Over-Ear Headphones with Built-In Microphone,bose®,149,149,GBP,electricals,headphones,headphones,,https://johnlewis.scene7.com/is/image/JohnLewis/234587590alt2?
Jigsaw Modern Stripe Wrist Warmer Mittens  Black Multi,jigsaw,23.2,23.2,GBP,women,women's hats  gloves & scarves,,,https://johnlewis.scene7.com/is/image/JohnLewis/004391307?
Ghost Bea Dress  Emerald Sea,ghost,265,265,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/003346591?
Monsoon Samba Sequin Short Dress  Pink,monsoon,79.2,79.2,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004794984?
Design Project by John Lewis No.185 Narrow Shelves and 5 Drawer Chest Set  Natural/Oak,design project by john lewis,649,649,GBP,furniture & lights,bedroom,chests of drawers,,https://johnlewis.scene7.com/is/image/JohnLewis/238267318
Skip Hop Bandana Buddies  Deer,skip hop,16,16,GBP,baby & child,baby & preschool toys,teethers & baby rattles,,https://johnlewis.scene7.com/is/image/JohnLewis/238361113?
Lauren Ralph Lauren Majaji T-Shirt,ralph lauren,55.3,55.3,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004045606?
Lauren Ralph Lauren Majaji T-Shirt,ralph lauren,55.3,55.3,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004045609?
Jolie Moi Geometric Midi Dress  Green/Multi,jolie moi,75,65,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004133693?
Josef Seibel Lina 5 Leather Ankle Boots,josef seibel,69.99,69.99,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004297144?
Emporio Armani EA4128 Men's Polarised Aviator Sunglasses  Matte Black/Grey,emporio armani,74.5,74.5,GBP,men,men's accessories,men's sunglasses,,https://johnlewis.scene7.com/is/image/JohnLewis/237911617?
Joules Children's Horses Drawstring Bag  Pink,joules,14.95,7.45,GBP,baby & child,school uniform shop,backpacks & bags,,https://johnlewis.scene7.com/is/image/JohnLewis/237909130?
Diptyque 34 Boulevard Saint Germain Large Indoor & Outdoor Scented Candle  1500g,diptyque,220,220,GBP,home & garden,candles & home fragrance,candles,,https://johnlewis.scene7.com/is/image/JohnLewis/236972804?
Neom Organics London Great Day Body & Hand Wash  250ml,neom organics london,18,18,GBP,beauty,body care,,,https://johnlewis.scene7.com/is/image/JohnLewis/236819992?
The North Face Hedgehog Hike II Mid Women's Waterproof Gore-Tex Hiking Shoes  Bipartisan Brown/Pamplona Purple,the north face,130,65,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004111558?
Save Khaki United Button Down Collar Oxford Shirt,save khaki united,145,72,GBP,men,men's shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004161361?
Darkroom Santa Mission Christmas Cards  Pack of 16  2 Designs,darkroom,6,6,GBP,christmas,christmas cards,,,https://johnlewis.scene7.com/is/image/JohnLewis/238139015?
Aspinal of London Small Leather Hobo Bag,aspinal of london,350,52.5,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237464277?
Aspinal of London Small Leather Hobo Bag,aspinal of london,350,52.5,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237464274?
Aspinal of London Small Leather Hobo Bag,aspinal of london,350,52.5,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/237464279?
Gina Bacconi Marion Jacquard Coat  Ivory,gina bacconi,290,116,GBP,women,women's coats & jackets,,,https://johnlewis.scene7.com/is/image/JohnLewis/003401461?
Yves Saint Laurent Manifesto Eau de Parfum,yves saint laurent,59.99,59.99,GBP,beauty,women's fragrance,,,https://johnlewis.scene7.com/is/image/JohnLewis/000356485alt1?
Stuart Weitzman Reserve Block Heel Knee High Boots,stuart weitzman,495,495,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/003691973?
Boden Modern Classic Floral Cotton Shirt  Ivory Petal Sprig,boden,40,31.5,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004195284?
Gerard Darel Leather Garment Nathan Jacket  Black,gerard darel,495,198,GBP,women,women's coats & jackets,,,https://johnlewis.scene7.com/is/image/JohnLewis/004191300?
Brora Scottish Tweed Midi Skirt  Sorrel/Chocolate,brora,245,129,GBP,women,women's skirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004343386?
Barbour Dunoon Tartan Shirt  Red,barbour,69.95,69.95,GBP,men,men's shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004115539?
Neom Organics London Nourish  Breathe & Sleep Hand Balm  50ml,neom organics london,15,15,GBP,beauty,hand & foot care,,,https://johnlewis.scene7.com/is/image/JohnLewis/236819994?
John Lewis & Partners Star Disc Drop Earrings  Gold,john lewis & partners,45,13.5,GBP,women,women's jewellery,women's earrings,,https://johnlewis.scene7.com/is/image/JohnLewis/237849989?
Scotch & Soda Striped T-Shirt  Brown/Navy,scotch & soda,44.95,22,GBP,men,men's t-shirts,,,https://johnlewis.scene7.com/is/image/JohnLewis/004151883?
Speedo Placement Panel Jammer Swim Shorts  Black/Oxid Grey,speedo,32,16,GBP,men,men's swimwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004059576?
Tiffany & Co. Tiffany Eau de Parfum 50ml Fragrance Gift Set,tiffany & co,79,52.5,GBP,beauty,view all beauty & fragrance gift sets,,,https://johnlewis.scene7.com/is/image/JohnLewis/238285806?
Shiseido Benefiance Wrinkle Smoothing Day Cream SPF 25  50ml,shiseido,75,75,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237910488?
Steiff My First Teddy Bear Soft Toy,steiff,36.9,18.45,GBP,baby & child,soft toys,,,https://johnlewis.scene7.com/is/image/JohnLewis/237107187?
Coccinelle Artellis Iconic Leather Grab Bag  Reptile Green,coccinelle,360,216,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238335377?
Start-rite Children's Leather Dream Boots  Dark Cherry,start-rite,55.99,27,GBP,baby & child,children's shoes,girls' shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/004069323?
John Lewis & Partners Wilton Dressing Table,john lewis & partners,299,299,GBP,furniture & lights,bedroom,dressing tables,,https://johnlewis.scene7.com/is/image/JohnLewis/237553491?
The Make Arcade Mini Reindeer Cross Stitch Bauble Kit,the make arcade,8.95,6.27,GBP,sport & leisure,haberdashery,craft  crochet & sewing kits,,https://johnlewis.scene7.com/is/image/JohnLewis/237768160?
